1000,91532,490000266G,WESTMINSTER STN  - PARLIAMENT SQUARE,530171,179738,177,0K08,0
10001,72689,490013793E,TREVOR CLOSE,515781,174783,78,NB16,0
10002,48461,490000108F,HIGHBURY CORNER,531614,184603,5,C902,0
10003,77150,490000108B,HIGHBURY & ISLINGTON STATION,531551,184803,127,C903,0
10004,48037,490012451S,ST MARY MAGDALENE CHURCH,531365,184986,141,C904,0
10005,57538,490012451N,ST MARY MAGDALENE CHURCH,531328,185009,322,C904,0
10010,48458,490000114Y,HOLLOWAY ROAD STATION,531036,185378,141,C703,0
10011,58713,490000114U,HOLLOWAY ROAD STATION,530939,185465,321,C703,0
10014,71829,490009485R,LYNWOOD ROAD,517950,182729,99,QT08,0
10015,54595,490009485Q,LYNWOOD ROAD,517907,182704,278,QT08,0
10016,71358,490003803W,WOOLWICH ROAD - BEDONWELL ROAD,548180,177996,254,E609,0
10017,53343,490003803E,WOOLWICH ROAD - BEDONWELL ROAD,548036,177997,88,E609,0
10019,54840,490011348E,QUEENS ROAD,521827,168125,83,K306,0
10023,47747,490012751E,ST JOSEPH'S CHURCH,521080,168163,106,K302,0
10024,55564,490012751W,ST JOSEPH'S CHURCH,521012,168171,286,K302,0
10028,54775,490014411W,ELM ROAD - NEW MALDEN BAPTIST CHURCH,520697,168304,294,K301,0
10031,54086,490006079E,ARCHDALE PLACE,519927,168691,124,K415,0
10032,48984,490003361W,CALIFORNIA ROAD,520074,168585,295,K415,0
10037,55215,490014286E,WATERS ROAD,519527,168967,130,K206,0